Document Request,Domain,Doc Ref
"Documentation that defines the Enterprise Risk Management program requirements (e.g., Enterprise risk governance plan, policies and procedures)",A. Enterprise Risk Management,A.1
Documentation that defines the organization's risk assessment lifecycle,A. Enterprise Risk Management,A.2
Inventory/register of applicable risks and controls included in the risk management program,A. Enterprise Risk Management,A.2
"Documentation that provides examples of dashboards, scorecards, metrics, and management reports of the enterprise risk management program.",A. Enterprise Risk Management,A.3
"Documentation that defines the IT risk assessment process requirements for systems and critical business processes, including a list of critical business processes related to the services provided",A. Enterprise Risk Management,A.4
"Documentation that defines the organization's third party risk management program and assessment requirements e.g., policies, standards, procedures",A. Enterprise Risk Management,A.5
Documentation and evidence of the structure and maintenance of the organization's third party inventory and vendor classification,A. Enterprise Risk Management,A.5
"Documentation that describes the organization's process for addressing contract clauses within fourth party (vendor or service provider) agreements and including evidence that the organization's required data protection requirements (e.g., standard provisions, addendums, appendices) have been included in the contracting process",A. Enterprise Risk Management,A.6
Documentation that defines the organization's guidelines and process for management and approval of exception handling for required contract terms,A. Enterprise Risk Management,A.6
"Documentation that defines the requirements for selection, due diligence and management of any Fourth-Nth parties.",A. Enterprise Risk Management,A.7
"A list of the critical parties and evidence of the execution of the standard contract provisions, master services agreements in place that are required for the delivery of the services",A. Enterprise Risk Management,A.8
"Documentation that defines the requirements for the assessment process that is in place to manage information security of its Fourth-Nth parties (e.g., Vendors, Service Providers, subcontractors, sub-processors)",A. Enterprise Risk Management,A.9
A copy of the formal criteria and methodology used to identify the inherent and residual risk associated to any third party entity involved in the delivery of the services.,A. Enterprise Risk Management,A.10
"Documentation that reflects the logging, tracking and risk rating of subcontractor issues",A. Enterprise Risk Management,A.11
Documentation of the organization's information security policies,B. Security Policy,B.1
Documentation of the organization's information security standards,B. Security Policy,B.2
"A copy of its current, approved Information Security (IS) organizational document, including IS roles and responsibilities",C. Organizational Security,C.1
"Documentation that defines Information Asset Management Program e.g., policies, procedures or standards",D. Asset and Info Management,D.1.1
"Documentation that defines Data Classification and Data Handling procedures in place e.g., policies, standards",D. Asset and Info Management,D.1.2
"Documentation of the information asset inventory report and any associated documentation including the categories of assets (Hardware, applications software, operating system software and supporting database management systems)",D. Asset and Info Management,D.1.3
"Documentation regarding the policies, procedures, and logs used for tracking inbound and outbound media shipments",D. Asset and Info Management,D.2
"Documentation regarding the transportation process used for pickup and transport of inbound and outbound media shipments, including a copy of its processes and log for the transport of backup media for offsite pickup and delivery",D. Asset and Info Management,D.3
Organization documentation of its process for restricting the use of removable devices,D. Asset and Info Management,D.4
"Documentation regarding the organizations encryption key management policy, procedures or standards",D. Asset and Info Management,D.5
"Documentation that describes policies, procedures or guidelines for web site encryption for internet or public facing web sites",D. Asset and Info Management,D.6
"Documentation regarding the policies and procedures for asset destruction and secure disposal, including sample destruction report",D. Asset and Info Management,D.7
"Documentation reflecting the current human resource security and background investigation policy and procedures, including but not limited to evidence of completion of background checks prior to employment",E. Human Resources Security,E.1
"Documentation regarding the policies and procedures for acknowledgement and receipt of company policies, including a current constituent list for constituents with access to scoped data",E. Human Resources Security,E.2
A copy of the organization's security awareness training program and a listing of its current constituents,E. Human Resources Security,E.3
Documentation of its process managing the formal performance and appraisal process for employees,E. Human Resources Security,E.4
Documentation of its process for handling involuntary/voluntary separations,E. Human Resources Security,E.5
"Documentation regarding the organization's policies, standards or guidelines for environmental controls",F. Physical and Environmental,F.1
"Documentation of the policies, standards or guidelines for physical access to data or systems",F. Physical and Environmental,F.2
Document(s) that are part of the secure workspace physical security and risk management programs,F. Physical and Environmental,F.3
"Organization documentation of its physical security plan and other relevant documentation, including fire authority certification for the offsite facility, if an offsite facility exists",F. Physical and Environmental,F.4
